player_hand,dealer_hand,is_soft_hand,Action,Q-Value
4,1,0,stand,0
4,1,0,hit,0
4,1,0,double down,0
4,1,0,surrender,0.0
4,1,0,stand,0
4,1,0,hit,0
4,1,0,double down,0
4,1,0,surrender,0.0
4,1,0,stand,0
4,1,0,hit,0
4,1,0,double down,-0.1
4,1,0,surrender,0
4,2,0,stand,0
4,2,0,hit,0
4,2,0,double down,0
4,2,0,surrender,0.0
4,2,0,stand,0
4,2,0,hit,0.0
4,2,0,double down,0
4,2,0,surrender,0
4,2,0,stand,0.1
4,2,0,hit,0
4,2,0,double down,0
4,2,0,surrender,0
4,2,0,stand,0
4,2,0,hit,0.0
4,2,0,double down,0
4,2,0,surrender,0
4,3,0,stand,-0.1
4,3,0,hit,0
4,3,0,double down,0
4,3,0,surrender,0
4,3,0,stand,0.1
4,3,0,hit,0
4,3,0,double down,0
4,3,0,surrender,0
4,4,0,stand,0
4,4,0,hit,0
4,4,0,double down,0
4,4,0,surrender,0.0
4,4,0,stand,0.1
4,4,0,hit,0
4,4,0,double down,0
4,4,0,surrender,0.0
4,4,0,stand,0
4,4,0,hit,0
4,4,0,double down,0
4,4,0,surrender,0.0
4,4,0,stand,-0.1
4,4,0,hit,0
4,4,0,double down,0
4,4,0,surrender,0
4,5,0,stand,-0.1
4,5,0,hit,0.0
4,5,0,double down,0
4,5,0,surrender,0
4,5,0,stand,0
4,5,0,hit,0
4,5,0,double down,0
4,5,0,surrender,0.0
4,6,0,stand,0
4,6,0,hit,0
4,6,0,double down,0
4,6,0,surrender,0.0
4,6,0,stand,0
4,6,0,hit,0.0
4,6,0,double down,0
4,6,0,surrender,0
4,7,0,stand,-0.1
4,7,0,hit,0
4,7,0,double down,0
4,7,0,surrender,0
4,7,0,stand,0
4,7,0,hit,0
4,7,0,double down,-0.1
4,7,0,surrender,0
4,8,0,stand,0
4,8,0,hit,0
4,8,0,double down,0
4,8,0,surrender,0.0
4,8,0,stand,0.1
4,8,0,hit,0
4,8,0,double down,0
4,8,0,surrender,0
4,9,0,stand,-0.1
4,9,0,hit,0
4,9,0,double down,0
4,9,0,surrender,0
4,9,0,stand,0.1
4,9,0,hit,0
4,9,0,double down,0
4,9,0,surrender,0
4,9,0,stand,0
4,9,0,hit,0
4,9,0,double down,0
4,9,0,surrender,0.0
4,10,0,stand,0
4,10,0,hit,0
4,10,0,double down,-0.1
4,10,0,surrender,0
4,10,0,stand,0
4,10,0,hit,0.0
4,10,0,double down,0
4,10,0,surrender,0
4,10,0,stand,0.1
4,10,0,hit,0.0
4,10,0,double down,-0.1
4,10,0,surrender,0
4,10,0,stand,0
4,10,0,hit,0
4,10,0,double down,0
4,10,0,surrender,0.0
4,10,0,stand,-0.1
4,10,0,hit,0
4,10,0,double down,0
4,10,0,surrender,0
4,10,0,stand,0.1
4,10,0,hit,0
4,10,0,double down,0
4,10,0,surrender,0
5,1,0,stand,0
5,1,0,hit,0
5,1,0,double down,0
5,1,0,surrender,0.0
5,1,0,stand,0
5,1,0,hit,0
5,1,0,double down,0
5,1,0,surrender,0.0
5,1,0,stand,0
5,1,0,hit,0.0
5,1,0,double down,0
5,1,0,surrender,0
5,1,0,stand,0
5,1,0,hit,0
5,1,0,double down,-0.1
5,1,0,surrender,0
5,1,0,stand,-0.1
5,1,0,hit,0
5,1,0,double down,0
5,1,0,surrender,0
5,2,0,stand,-0.1
5,2,0,hit,0
5,2,0,double down,0
5,2,0,surrender,0
5,2,0,stand,0
5,2,0,hit,0
5,2,0,double down,0.1
5,2,0,surrender,0
5,3,0,stand,0
5,3,0,hit,0
5,3,0,double down,0.1
5,3,0,surrender,0
5,3,0,stand,0
5,3,0,hit,0
5,3,0,double down,-0.09100000000000001
5,3,0,surrender,0
5,4,0,stand,0
5,4,0,hit,0
5,4,0,double down,0
5,4,0,surrender,0.0
5,4,0,stand,0
5,4,0,hit,0
5,4,0,double down,0.1
5,4,0,surrender,0
5,4,0,stand,-0.1
5,4,0,hit,0
5,4,0,double down,0
5,4,0,surrender,0
5,4,0,stand,0
5,4,0,hit,0
5,4,0,double down,0
5,4,0,surrender,0.0
5,4,0,stand,-0.1
5,4,0,hit,0
5,4,0,double down,0
5,4,0,surrender,0
5,4,0,stand,0
5,4,0,hit,0
5,4,0,double down,0.1
5,4,0,surrender,0
5,5,0,stand,0.1
5,5,0,hit,0
5,5,0,double down,0
5,5,0,surrender,0
5,5,0,stand,0
5,5,0,hit,0.0
5,5,0,double down,0
5,5,0,surrender,0
5,5,0,stand,-0.1
5,5,0,hit,0.0
5,5,0,double down,0
5,5,0,surrender,0
5,5,0,stand,0
5,5,0,hit,0.0
5,5,0,double down,0
5,5,0,surrender,0
5,5,0,stand,0
5,5,0,hit,0
5,5,0,double down,-0.1
5,5,0,surrender,0
5,6,0,stand,0
5,6,0,hit,0
5,6,0,double down,0.1
5,6,0,surrender,0
5,6,0,stand,0
5,6,0,hit,0
5,6,0,double down,0.1
5,6,0,surrender,0
5,7,0,stand,0
5,7,0,hit,0
5,7,0,double down,-0.1
5,7,0,surrender,0
5,7,0,stand,0
5,7,0,hit,0.0
5,7,0,double down,0
5,7,0,surrender,0
5,7,0,stand,-0.1
5,7,0,hit,0.0
5,7,0,double down,0
5,7,0,surrender,0
5,8,0,stand,0.1
5,8,0,hit,0
5,8,0,double down,0
5,8,0,surrender,0
5,8,0,stand,0
5,8,0,hit,0.0
5,8,0,double down,0
5,8,0,surrender,0
5,8,0,stand,0
5,8,0,hit,0
5,8,0,double down,-0.1
5,8,0,surrender,0
5,8,0,stand,0
5,8,0,hit,0
5,8,0,double down,-0.1
5,8,0,surrender,0
5,8,0,stand,0
5,8,0,hit,0.0
5,8,0,double down,0
5,8,0,surrender,0
5,9,0,stand,0
5,9,0,hit,0
5,9,0,double down,0
5,9,0,surrender,0.0
5,9,0,stand,0
5,9,0,hit,0
5,9,0,double down,0
5,9,0,surrender,0.0
5,9,0,stand,0
5,9,0,hit,0
5,9,0,double down,0
5,9,0,surrender,0.0
5,10,0,stand,-0.1
5,10,0,hit,0
5,10,0,double down,-0.1
5,10,0,surrender,0
5,10,0,stand,0
5,10,0,hit,0.0
5,10,0,double down,0
5,10,0,surrender,0
5,10,0,stand,0
5,10,0,hit,0.0
5,10,0,double down,0
5,10,0,surrender,0
5,10,0,stand,0
5,10,0,hit,0
5,10,0,double down,0
5,10,0,surrender,0.0
5,10,0,stand,0
5,10,0,hit,0.0
5,10,0,double down,0
5,10,0,surrender,0
5,10,0,stand,-0.1
5,10,0,hit,0
5,10,0,double down,0
5,10,0,surrender,0
5,10,0,stand,0
5,10,0,hit,0
5,10,0,double down,0
5,10,0,surrender,0.0
5,10,0,stand,0
5,10,0,hit,0
5,10,0,double down,-0.1
5,10,0,surrender,0
5,10,0,stand,0
5,10,0,hit,0
5,10,0,double down,-0.1
5,10,0,surrender,0
5,10,0,stand,0
5,10,0,hit,0.0
5,10,0,double down,0
5,10,0,surrender,0
5,10,0,stand,0
5,10,0,hit,0.0
5,10,0,double down,0
5,10,0,surrender,0
5,10,0,stand,-0.1
5,10,0,hit,0
5,10,0,double down,0
5,10,0,surrender,0
5,10,0,stand,-0.1
5,10,0,hit,0
5,10,0,double down,0
5,10,0,surrender,0
5,10,0,stand,0
5,10,0,hit,0
5,10,0,double down,-0.07840000000000001
5,10,0,surrender,0
5,10,0,stand,0
5,10,0,hit,0
5,10,0,double down,-0.1
5,10,0,surrender,0
5,10,0,stand,0
5,10,0,hit,0
5,10,0,double down,0
5,10,0,surrender,0.0
6,1,0,stand,-0.1
6,1,0,hit,0
6,1,0,double down,0
6,1,0,surrender,0
6,1,0,stand,-0.1
6,1,0,hit,0
6,1,0,double down,0
6,1,0,surrender,0
6,1,0,stand,0
6,1,0,hit,0
6,1,0,double down,0
6,1,0,surrender,0.0
6,1,0,stand,-0.1
6,1,0,hit,0
6,1,0,double down,0
6,1,0,surrender,0
6,1,0,stand,0
6,1,0,hit,0
6,1,0,double down,-0.1
6,1,0,surrender,0
6,1,0,stand,0
6,1,0,hit,0
6,1,0,double down,-0.1
6,1,0,surrender,0
6,2,0,stand,0
6,2,0,hit,0.0
6,2,0,double down,0
6,2,0,surrender,0
6,2,0,stand,0
6,2,0,hit,0
6,2,0,double down,0
6,2,0,surrender,0.0
6,2,0,stand,0.1
6,2,0,hit,0
6,2,0,double down,0
6,2,0,surrender,0
6,2,0,stand,-0.1
6,2,0,hit,0
6,2,0,double down,0
6,2,0,surrender,0
6,2,0,stand,0.1
6,2,0,hit,0
6,2,0,double down,0
6,2,0,surrender,0
6,3,0,stand,0
6,3,0,hit,0
6,3,0,double down,-0.1
6,3,0,surrender,0
6,3,0,stand,0
6,3,0,hit,0
6,3,0,double down,0
6,3,0,surrender,0.0
6,3,0,stand,0
6,3,0,hit,0.0
6,3,0,double down,0
6,3,0,surrender,0
6,3,0,stand,0.1
6,3,0,hit,0
6,3,0,double down,0
6,3,0,surrender,0
6,3,0,stand,-0.1
6,3,0,hit,0
6,3,0,double down,0
6,3,0,surrender,0
6,4,0,stand,0
6,4,0,hit,0
6,4,0,double down,0
6,4,0,surrender,0.0
6,4,0,stand,0
6,4,0,hit,0
6,4,0,double down,-0.1
6,4,0,surrender,0
6,4,0,stand,0
6,4,0,hit,0.009000000000000001
6,4,0,double down,0
6,4,0,surrender,0
6,4,0,stand,0
6,4,0,hit,0
6,4,0,double down,-0.1
6,4,0,surrender,0.0
6,4,0,stand,0
6,4,0,hit,0.0
6,4,0,double down,0
6,4,0,surrender,0
6,4,0,stand,0
6,4,0,hit,0
6,4,0,double down,0
6,4,0,surrender,0.0
6,5,0,stand,0.1
6,5,0,hit,0
6,5,0,double down,0
6,5,0,surrender,0.0
6,5,0,stand,0.1
6,5,0,hit,0.0
6,5,0,double down,0
6,5,0,surrender,0
6,5,0,stand,0
6,5,0,hit,0
6,5,0,double down,0.1
6,5,0,surrender,0
6,5,0,stand,0
6,5,0,hit,0
6,5,0,double down,0
6,5,0,surrender,0.0
6,6,0,stand,0
6,6,0,hit,0
6,6,0,double down,0.10900000000000001
6,6,0,surrender,0
6,6,0,stand,0
6,6,0,hit,0.0
6,6,0,double down,0
6,6,0,surrender,0
6,6,0,stand,0
6,6,0,hit,0.0
6,6,0,double down,0
6,6,0,surrender,0
6,6,0,stand,0
6,6,0,hit,0.0
6,6,0,double down,0
6,6,0,surrender,0
6,6,0,stand,0
6,6,0,hit,0
6,6,0,double down,0.1
6,6,0,surrender,0
6,6,0,stand,0
6,6,0,hit,0
6,6,0,double down,-0.09100000000000001
6,6,0,surrender,0
